basin_id,NSE,KGE,num_observation,Performance
02GC026,0.0229860645485894,0.4306968633825454,3652,Unsatisfactory
02GC007,-0.2539209361815844,0.4086458942249279,3652,Negative
02GC021,-5.246566889322435,-0.7537219907162984,3634,Negative
02GG003,0.1180553886662244,0.4001619792846305,3652,Unsatisfactory
02GE003,0.2402839255415192,0.496864943328385,3652,Unsatisfactory
02GE007,-0.1462120511154532,0.0911369857667629,3652,Negative
02GH011,-1.5113996566214891,0.0850217203322136,2247,Negative
02GH002,-0.1511577018571241,0.4866676280570458,3652,Negative
02GE009,0.0202432727592684,-0.0402105126076965,365,Unsatisfactory
02GH003,0.2692655537719018,0.2643625793841027,3011,Unsatisfactory
02DC012,0.6829850451071182,0.6618030426264804,3652,Good
02CB003,0.5345773097810766,0.758799399169354,3652,Good
02CF014,0.7213491926042921,0.7483885908630166,3652,Good
