basin_id,NSE,KGE,Performance
02EB002,,,N/A
02EB003,,,N/A
02EB004,0.4898811495441229,0.5759829485480772,Good
02EB005,,,N/A
02EB006,,,N/A
02EB007,,,N/A
02EB008,0.2660616353006562,0.3206552402490739,Unsatisfactory
02EB009,,,N/A
02EB010,,,N/A
02EB011,-0.14633833382712336,-0.3284648363824665,Negative
02EB012,-4.723273370759572,-0.4957835027366082,Negative
02EB013,0.5474468247290198,0.659572194639547,Good
02EB014,0.6339647215112012,0.6687481203792962,Good
02EB103,,,N/A
02EB104,,,N/A
02EB105,,,N/A
02EC001,,,N/A
02EC002,0.0739711274393926,0.12783317149650808,Unsatisfactory
02EC003,,,N/A
02EC004,,,N/A
02EC006,,,N/A
02EC007,,,N/A
02EC008,0.25715478212579856,0.4196517119316171,Unsatisfactory
